customerID,Churn_Yes,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,charges_ratio,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,HighSpender,HighChurnRisk
7590-VHVEG,0,0,1,29.85,29.85,14.925,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0,1
5575-GNVDE,0,0,34,56.95,1889.5,53.98571428571429,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,0,0
3668-QPYBK,1,0,2,53.85,108.15,36.050000000000004,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,0,0
7795-CFOCW,0,0,45,42.3,1840.75,40.016304347826086,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,0,0
9237-HQITU,1,0,2,70.7,151.65,50.550000000000004,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
9305-CDSKC,1,0,8,99.65,820.5,91.16666666666667,False,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,1,1
1452-KIOVK,0,0,22,89.1,1949.4,84.75652173913043,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,0,0
6713-OKOMC,0,0,10,29.75,301.9,27.44545454545454,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0
7892-POOKP,1,0,28,104.8,3046.05,105.03620689655173,False,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,1,1
6388-TABGU,0,0,62,56.15,3487.95,55.364285714285714,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0,0
9763-GRSKD,0,0,13,49.95,587.45,41.96071428571429,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0,0
7469-LKBCI,0,0,16,18.95,326.8,19.223529411764705,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0,0
8091-TTVAX,0,0,58,100.35,5681.1,96.28983050847458,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,1,0
0280-XJGEX,1,0,49,103.7,5036.3,100.726,True,False,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,1,1
5129-JLPIS,0,0,25,105.5,2686.05,103.3096153846154,True,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,False,1,1
