SeniorCitizen,tenure,MonthlyCharges,TotalCharges,charges_ratio,tenure_group,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes
0,1,29.85,29.85,1.0,0-1yr,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,34,56.95,1889.5,33.17822651448639,2-4yrs,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
0,2,53.85,108.15,2.0083565459610027,0-1yr,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True
0,45,42.3,1840.75,43.516548463356976,2-4yrs,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False
0,2,70.7,151.65,2.144978783592645,0-1yr,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
0,8,99.65,820.5,8.233818364274962,0-1yr,False,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True
0,22,89.1,1949.4,21.878787878787882,1-2yrs,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
0,10,29.75,301.9,10.147899159663865,0-1yr,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,28,104.8,3046.05,29.06536259541985,2-4yrs,False,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,True
0,62,56.15,3487.95,62.118432769367764,4-6yrs,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
0,13,49.95,587.45,11.76076076076076,1-2yrs,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
0,16,18.95,326.8,17.24538258575198,1-2yrs,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
0,58,100.35,5681.1,56.61285500747385,4-6yrs,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False
0,49,103.7,5036.3,48.56605593056895,4-6yrs,True,False,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,True
0,25,105.5,2686.05,25.46018957345972,2-4yrs,True,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,False,False
0,69,113.25,7895.15,69.71434878587196,4-6yrs,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,False
0,52,20.65,1022.95,49.53753026634383,4-6yrs,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
0,71,106.7,7382.25,69.18697282099343,4-6yrs,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False
0,10,55.2,528.35,9.571557971014492,0-1yr,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
0,21,90.05,1862.9,20.687395891171573,1-2yrs,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False
1,1,39.65,39.65,1.0,0-1yr,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True
0,12,19.8,202.25,10.214646464646464,0-1yr,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,20.15,20.15,1.0,0-1yr,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
0,58,59.9,3505.1,58.51585976627713,4-6yrs,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False
0,49,59.6,2970.3,49.83724832214765,4-6yrs,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False
